Owner_Name,Father_Name,CNIC,Car_Registration_Number,Model_Year,Car_Brand,Car_Model,Engine_Size_CC,Province,City,Estimated_Market_Value,Contact_No
Mehwish Mirza,S/O Fatima Malik,1330270387698,KHI-237-P,2019,Hyundai,Santa Fe,1200,Sindh,Larkana,,03216516062
Chaudhry Sheikh,S/O Shoaib Bukhari,2130152852976,KHI-3302-T,2022,Toyota,Corolla,3000,Sindh,Karachi,501000,03027306020
Sobia Rana,S/O Bushra Rizvi,4210118388372,MZD-2862-B,2023,Toyota,Corolla,1500,Azad Kashmir,Muzaffarabad,259500,03038986694
Asif Karim,S/O Saira Gondal,4400094682123,ISB-6432-P,2018,Honda,BR-V,1600,ICT,Islamabad,561600,03127765712
Shazia Khan,S/O فاطمہ خان,1330284081908,QTA-1818-D,2023,Hyundai,Sonata,2500,Balochistan,Turbat,920000,03311472429
Malik Naqvi,S/O Kamran Ansari,4210164975684,PES-8225-O,2015,Honda,City,1500,KPK,Mardan,258000,03463121622
Bushra Sandhu,S/O S/O Usman Syed,6110120075111,PES-601-U,2023,Honda,HR-V,3000,KPK,Bannu,984000,03214903632
Hussain Bukhari,S/O Sana Virk,54000-8070416-4,LHR-5338-P,2016,Hyundai,Santa Fe,1500,Punjab,Lahore,397500,03218927894
Raja uBkhari,S/O Iqra Tarar,6110159699842,GIL-7543-E,2006,Suzuki,Jimny,2000,Gilgit-Baltistan,Gilgit,304000,03324454281
Nadia Rana,S/O Asif Khan,1330227133757,MZD-9779-N,2016,Hyundai,Tucson,1000,Azad Kashmir,Muzaffarabad,258000,03006179378
محمد احمد,S/O Aamir Naqvi,2130187754314,QTA-8433-M,2016,Kia,Carnival,660,Balochistan,Hub,210540,03025406989
Hina Syed,S/O Ibrahim Raja,5400026941609,KHI-9036-D,2015,BMW,3 Series,3000,Sindh,Karachi,870000,03132760168
Mehwish Gondal,S/O Sobia Raja,3520271903194,LHR-5462-T,2006,Hyundai,Sonata,3000,Punjab,Multan,729000,03016309301
Mirza Aslam,S/O Imran Butt,4210199346447,PES-222-J,2010,Kia,Stonic,2000,KPK,Kohat,738000,03468337440
Kashif Bukhari,S/O Ali Rafiq,5400044417476,ISB-373-K,2018,Toyota,Fortuner,1300,Punjab,Rawalpindi,416000,03323684486
Qureshi Bukhari,S/O Hussain Hashmi,6110149989249,LHR-3057-P,2016,Toyota,Camry,800,Punjab,Bahawalpur,136800,03112464190
S. Gujjar,S/O Mirza Hameed,6110178028716,KHI-8205-S,2008,Toyota,Corolla,1000,Sindh,Sukkur,128000,03319383571
Fatima Akhtar,S/O Arif Cheema,1330238366609,QTA-5027-Z,2017,Toyota,Camry,1600,Sindh,Nawabshah,488000,03328281246
Sidra Syed,S/O S/O Ali Raja,3520234004267,GIL-7474-W,2012,Suzuki,Jimny,1800,Gilgit-Baltistan,Gilgit,,03322237660
محمد احمد,S/O Muhammad Iqbal,3520220269169,ISB-2115-P,2007,Honda,City,3000,ICT,Islamabad,861000,03002051217
Aamir Ali,S/O Naveed Gujjar,5400020354295,KHI-3252-E,2017,Honda,CR-V,1200,Sindh,Mirpurkhas,296400,03009716578
Naeem Hameed,S/O Hassan Ahmed,4400082671587,KHI-1676-I,2018,Audi,A4,3000,Sindh,Sukkur,993000,03026938182
Uzma SSheikh,S/O Nadia Abbasi,5400086156161,ISB-2747-W,2023,Honda,Civic,2500,ICT,Islamabad,582500,03466419028
Ahmed Malik,S/O Ayesha Raza,4400058810173,QTA-3714-T,2017,Honda,Civic,1600,Balochistan,Turbat,294400,03137265958
Muhammad Hussain,S/O Sheikh Hameed,4210177428096,PES-3754-Q,2010,Suzuki,Swift,1500,KPK,Peshawar,183000,03331510673
Zainab Iqbal,S/O Shazia Syed,4210122603446,LHR-8177-D,2016,Honda,BR-V,2000,Punjab,Sialkot,346000,03008092102
Mehwish Akhtar,S/O Hussain Rana,5400090616908,ISB-2194-K,2019,Toyota,Hilux,2000,ICT,Islamabad,234000,03221935555
Qureshi Karim,S/O Khalid Ali,4210129271866,KHI-9646-W,2011,Toyota,Yaris,660,Sindh,Karachi,130020,03216318010
Sana Hameed,S/O Naeem Gujjar,4400095737293,PES-3705-F,2011,Suzuki,Alto,1800,KPK,Mardan,198000,03028675147
Kamran Rana,S/O Iqra Khan,2130112275166,GIL-2098-X,2008,Honda,Civic,660,Gilgit-Baltistan,Chilas,250140,03459126125
Sheikh Ali,S/O Adnan Chaudhry,6110166149503,MZD-2882-Z,2021,Hyundai,Sonata,1000,Azad Kashmir,Rawalakot,225000,03129585231
Mehwish Hameed,S/O Uzma Gondal,3520246303848,MZD-411-O,2011,Hyundai,Tucson,2000,Azad Kashmir,Muzaffarabad,796000,03226048402
Aamir Raja,S/O Shazia Raza,4210110466098,ISB-1114-R,2014,Hyundai,Santa Fe,1500,ICT,Islamabad,,03228224494
Kamran Karim,S/O S/O Hashmi Butt,5400033494695,MZD-6949-C,2007,Suzuki,Alto,2500,Azad Kashmir,Rawalakot,695000,03138914690
Sobia Nawaz,S/O Hamid Rafiq,3520248036911,ISB-1800-S,2011,Honda,Civic,1000,ICT,Islamabad,140000,03006113416
Adnan Sandhu,S/O Asma Raja,5400075087833,GIL-7321-Z,2008,Kia,Carnival,800,Gilgit-Baltistan,Chilas,317600,03451854439
Malik Hashmi,S/O محمد حسن,2130177582945,ISB-1102-L,2018,Hyundai,Santa Fe,800,ICT,Islamabad,120000,03335829304
ابراہیم ملک,S/O Rabia Naqvi,4210180757205,KHI-3833-Q,2010,Kia,Stonic,1800,Sindh,Karachi,340200,03006419560
Nadia Syed,S/O Muhammad Raza,4400069073596,MZD-3166-U,2009,Hyundai,Elantra,1000,Azad Kashmir,Muzaffarabad,199000,03452126668
Hashmi Rafiq,S/O Saira Virk,1330231018709,GIL-5036-D,2014,Kia,Picanto,2000,Gilgit-Baltistan,Gilgit,440000,03323317607
Rabia Nawaz,S/O Fatima Sheikh,5400064598705,GIL-6996-O,2021,Kia,Carnival,1300,Gilgit-Baltistan,Skardu,491400,03015337351
Asif Rana,S/O Naveed Sandhu,2130158756972,LHR-2921-C,2013,Honda,City,800,Punjab,Rawalpindi,168000,03026729398
Hashmi Hussain,S/O Sobia Butt,4400031247648,LHR-9211-J,2015,Honda,BR-V,1800,Punjab,Gujranwala,208800,03337609338
Khalid Latif,S/O Nadia Butt,4210176315855,QTA-6524-Y,2006,Toyota,Land Cruiser,1800,Balochistan,Turbat,387000,03463769138
Naveed Gondal,S/O Mirza Naqvi,1330275663564,PES-1684-G,2006,Audi,Q5,2000,KPK,Mingora,274000,03312729774
Ahmed Akhtar,S/O Shazia Ansari,3520264174406,PES-6891-Y,2018,Toyota,Hilux,800,KPK,Abbottabad,160800,03211549194
,S/O Zainab Hashmi,61101-3642499-3,LHR-1894-S,2008,Audi,A3,4000,Punjab,Faisalabad,940000,
Sobia Hashmi,S/O Uzma Rana,4400032683568,LHR-6523-D,2022,Honda,City,1300,Punjab,Sargodha,167700,03035495585
Zainab Mirza,S/O Omar Ali,4400019965412,LHR-2765-F,2016,Hyundai,Tucson,1600,Punjab,Bahawalpur,595200,03004476565
Iqra Raza,S/O Hussain Hameed,4210189000982,PES-2800-P,2021,Hyundai,Tucson,1500,KPK,Peshawar,541500,03314234782
I. Malik,S/O Hassan Bukhari,1330282062991,MZD-7441-F,2015,Honda,CR-V,2500,Azad Kashmir,Muzaffarabad,837500,03022666365
Hamid Gujjar,S/O Ahmed Cheema,2130127268524,GIL-3982-I,2017,Suzuki,Alto,1300,Gilgit-Baltistan,Gilgit,340600,03313616808
Mohammad Tarar,S/O Ibrahim Nawaz,2130173647688,QTA-6604-P,2021,Toyota,Land Cruiser,1800,Balochistan,Hub,412200,03337079798
Ali Qureshi,S/O Sana Syed,5400039823579,QTA-5585-P,2011,Honda,City,1000,Balochistan,Quetta,223000,03014652267
Faisal Rizvi,S/O Fatima Naqvi,5400017596691,QTA-8444-M,2020,Suzuki,Alto,1000,Balochistan,Gwadar,357000,03453405721
Bushra Ali,S/O Mehwish Rizvi,6110157593596,ISB-9452-M,2012,Kia,Sportage,3000,ICT,Islamabad,1155000,03037791754
زینب علی,S/O Arif Raza,1330256362899,MZD-4071-M,2014,Hyundai,Sonata,1300,Azad Kashmir,Mirpur,,03034338444
Adnan Abbasi,S/O محمد احمد,6110125090596,KHI-7501-Y,2021,Honda,HR-V,660,Sindh,Sukkur,120120,03333526697
Faisal Malik,S/O Ibrahim Qureshi,4210133829036,PES-4720-P,2011,Toyota,Fortuner,1300,KPK,Mingora,144300,03228433649
Tahir Malik,S/O Aamir Jafri,1330275491711,ISB-5751-T,2013,Honda,HR-V,1500,ICT,Islamabad,504000,03111608334
Ayesha Abbasi,S/O Maryam Gilani,4400087424148,KHI-2149-X,2014,Kia,Picanto,3000,Sindh,Karachi,432000,03224293573
Nadia Gondal,S/O Muhammad Hussain,4210160735481,KHI-5033-R,2018,Suzuki,Wagon R,1500,Sindh,Karachi,430500,03034177799
Syed Hashmi,S/O Ali Hashmi,4210194820168,MZD-4449-E,2014,Honda,City,1000,Azad Kashmir,Rawalakot,231000,03019248484
Bilal Sandhu,S/O Saira Zaidi,1330237753647,GIL-2772-Y,2006,Hyundai,Tucson,1600,Gilgit-Baltistan,Skardu,304000,03327046680
Hussain Gujjar,S/O Hamid Rafiq,4210149089935,ISB-6274-E,2022,Suzuki,Alto,2000,ICT,Islamabad,712000,03134647992
Uzma Nawaz,S/O Naeem Baig,2130163771435,KHI-9840-L,2017,BMW,5 Series,3000,Sindh,Mirpurkhas,,03464227225
Naeem Ali,S/O Kamran Baig,35202-4131713-2,ISB-3369-H,2009,Hyundai,Sonata,1800,ICT,Islamabad,482400,03464944902
Chaudhry Tarar,S/O Muhammad Latif,4400064346602,LHR-4274-U,2019,Kia,Picanto,1000,Punjab,Lahore,,03118875791
Ibrahim Sheikh,S/O Sidra Chattha,4400065245438,KHI-8919-C,2007,Toyota,Camry,800,Sindh,Karachi,133600,03036308924
Noor Qureshi,S/O Adnan Gondal,3520268347387,KHI-6520-R,2010,Kia,Stonic,800,Sindh,Sukkur,255200,03227201152
Naeem Jafri,S/O Iqra Mirza,3520266867162,QTA-7063-P,2007,Suzuki,Wagon R,1200,Gilgit-Baltistan,Gilgit,297600,03465229804
Shoaib Tarar,S/O Shoaib Jafri,4210145114043,GIL-4003-T,2014,Honda,BR-V,1600,Gilgit-Baltistan,Skardu,526400,03337014039
Qureshi Aslam,S/O Ahmed Cheema,3520284772474,KHI-3147-Y,2013,Kia,Sportage,660,ICT,Islamabad,66660,03131727312
Mehwish Chaudhry,S/O Hina Raza,5400026965577,GIL-6336-N,2007,Honda,Civic,1800,Gilgit-Baltistan,Skardu,205200,03126066483
Nadia Bukhari,S/O Fatima Rizvi,1330236108663,MZD-6917-N,2014,Suzuki,Alto,3000,Azad Kashmir,Mirpur,858000,03132266948
Hassan Karim,S/O Chaudhry Ali,3520285770038,MZD-3562-H,2006,Kia,Carnival,2500,Azad Kashmir,Rawalakot,445000,03325729035
Fatima Gujjar,S/O Ahmed Gujjar,2130199512723,GIL-5921-P,2017,Kia,Picanto,1200,Gilgit-Baltistan,Gilgit,433200,03224934690
Sobia Aslam,S/O Noor Rizvi,2130158474502,LHR-7456-Q,2010,Kia,Stonic,2000,Punjab,Bahawalpur,528000,03112187967
Nadia Raja,S/O Zubair Syed,6110118754318,MZD-8084-Q,2018,Hyundai,Tucson,2000,Azad Kashmir,Muzaffarabad,408000,03339655523
Amna Chaudhry,S/O Bilal Gilani,1330217275848,LHR-4474-T,2016,Toyota,Camry,2500,Punjab,Sialkot,405000,03226323274
Uzma Karim,S/O Shoaib Latif,2130151660846,KHI-1744-Q,2006,Suzuki,Wagon R,2000,Sindh,Mirpurkhas,800000,03011173144
Zubair Chaudhry,S/O Bushra Abbasi,4210142663225,GIL-3975-N,2011,Toyota,Corolla,1800,Gilgit-Baltistan,Gilgit,347400,03023335836
Kashif Raza,S/O Sajid Malik,4210154080727,GIL-5215-O,2014,Honda,CR-V,3500,Gilgit-Baltistan,Gilgit,924000,03033320821
Ahmed Ali,S/O Faisal Tarar,4210193560593,LHR-8746-Q,2005,Kia,Picanto,1300,Punjab,Bahawalpur,295100,03333369785
Bushra Cheema,S/O Kashif Raza,2130168290275,PES-7723-Z,2013,Suzuki,Jimny,2500,KPK,Mingora,290000,03327842181
Bilal Naqvi,S/O Noor Cheema,5400067721966,MZD-8314-N,2022,Mercedes,C-Class,2000,Azad Kashmir,Rawalakot,226000,03211801936
Noor Tarar,S/O Asma Zaidi,4400084128542,PES-6009-C,2010,Kia,Sportage,4000,KPK,Kohat,1284000,03212525747
Tahir Zaidi,S/O Mehwish Hussain,4400011350046,PES-7035-E,2022,Honda,CR-V,2000,KPK,Kohat,266000,03211796229
H. Akhtar,S/O Mirza Naqvi,4400082678995,LHR-850-G,2013,Hyundai,Santa Fe,1200,Punjab,Lahore,171600,03036806593
Waseem Butt,S/O Zainab Hameed,3520222562719,LHR-1317-B,2019,BMW,X5,3500,Punjab,Multan,525000,03454388982
Ali Tarar,S/O Ali Jafri,5400063187139,LHR-9516-H,2017,Honda,BR-V,3500,Punjab,Sargodha,556500,03131600628
Khalid Mirza,S/O Asif Jafri,1330256865071,QTA-3633-V,2018,Suzuki,Swift,2500,Balochistan,Gwadar,775000,03002699570
Naveed Cheema,S/O Ayesha Syed,1330266624215,ISB-4805-T,2019,Toyota,Land Cruiser,1200,ICT,Islamabad,382800,03128525539
Rukhsar Aslam,S/O Asif Gilani,4210135073309,KHI-6474-F,2011,Toyota,Corolla,1000,Sindh,Larkana,349000,03029718036
Syed Rizvi,S/O Malik Qureshi,2130151763256,MZD-9968-X,2010,Toyota,Fortuner,1600,Azad Kashmir,Mirpur,547200,03464937181
Tahir Jafri,S/O صنا ملک,2130161095705,QTA-9530-O,2016,Honda,HR-V,660,Balochistan,Hub,180180,03311915141
Sana Rizvi,S/O Noor Khan,5400086402278,ISB-7060-G,2011,Hyundai,Santa Fe,1600,KPK,Mardan,544000,03325831647
محمد حسن,S/O Naeem Zaidi,,KHI-2482-X,2009,Honda,BR-V,2000,Sindh,Mirpurkhas,672000,03012244876
Sobia Gondal,S/O Sana Bhatti,3520247392771,ISB-2785-T,2020,Suzuki,Alto,800,ICT,Islamabad,281600,03117370776
Mehwish Virk,S/O Waseem Chattha,5400069449096,QTA-3963-L,2006,Toyota,Yaris,1800,Balochistan,Gwadar,482400,03013907503
Arif Aslam,S/O Noor Sheikh,3520233535157,ISB-4350-D,2019,Mercedes,GLE,3000,ICT,Islamabad,315000,
Muhammad Aslam,S/O Adnan Raja,4400097627709,MZD-9411-L,2020,Toyota,Land Cruiser,3000,Azad Kashmir,Rawalakot,390000,03331265468
Mirza Qureshi,S/O Waseem Ali,2130186084082,PES-8115-V,2010,Honda,City,2500,KPK,Mardan,652500,03011379228
Sheikh Abbasi,S/O Hassan Chattha,5400020822557,PES-3144-O,2016,Kia,Stonic,1800,KPK,Mingora,594000,03456842443
Arif Sandhu,S/O Imran Baig,2130129164966,LHR-3878-M,2022,Mercedes,S-Class,3500,Punjab,Gujranwala,1319500,03025990296
Zainab Chaudhry,S/O Sana Chaudhry,4400091822246,ISB-5686-T,2018,Suzuki,Alto,3000,Balochistan,Khuzdar,990000,03014470340
Kamran Cheema,S/O Hamid Baig,3520243715371,MZD-9393-M,2014,Kia,Stonic,1500,Azad Kashmir,Muzaffarabad,153000,03462713506
Zubair Hussain,S/O Waseem Gondal,3520239106829,LHR-8343-Y,2019,Toyota,Fortuner,2000,Punjab,Sialkot,556000,03335675458
S. Akhtar,S/O Usman Cheema,3520268243631,QTA-6198-C,2010,Suzuki,Alto,3000,Balochistan,Quetta,726000,03025927237
Raja Gondal,S/O Hina Ahmed,4400053153338,GIL-724-I,2014,Kia,Picanto,2500,Gilgit-Baltistan,Gilgit,622500,03331779927
Nadia Aslam,S/O Ahmed Aslam,2130156012986,KHI-904-Q,2018,Toyota,Yaris,1000,Sindh,Sukkur,270000,03467278457
Nadia Virk,S/O Khalid Rizvi,35202-5772932-6,MZD-7887-E,2018,Suzuki,Wagon R,2500,Azad Kashmir,Muzaffarabad,752500,03332769249
Raja Gujjar,S/O Ayesha Cheema,3520282380618,KHI-4412-I,2009,Suzuki,Bolan,800,Sindh,Hyderabad,296000,03034505928
,S/O Uzma Syed,1330285527263,LHR-6819-Q,2006,Hyundai,Elantra,3000,Punjab,Faisalabad,1095000,03113086779
Syed Aslam,S/O Mohammad Syed,1330248028923,QTA-4290-Q,2008,Suzuki,Cultus,1000,Punjab,Faisalabad,167000,03458497603
Uzma Sandhu,,2130163602279,GIL-1988-F,2011,Honda,Civic,2500,Gilgit-Baltistan,Skardu,702500,03017261430
Malik Gilani,S/O نادیہ رضا,2130125089976,QTA-7495-K,2005,Kia,Carnival,1600,Balochistan,Khuzdar,236800,03333538073
Qureshi Raja,S/O Arif Syed,2130118614474,LHR-5319-U,2008,Honda,Civic,2500,Punjab,Sialkot,592500,03117275276
Sidra Syed,S/O S/O Ali Raja,3520234004267,GIL-1753-V,2021,Toyota,Camry,1600,Gilgit-Baltistan,Gilgit,361600,03322237660
Adnan Gujjar,S/O Kashif Hameed,4400046983459,QTA-4710-Z,2017,Mercedes,C-Class,2000,Balochistan,Turbat,270000,03321681517
Uzma Nawaz,,5400085735351,PES-8373-Q,2021,Kia,Stonic,2500,KPK,Mardan,517500,03112968031
A. Karim,S/O Rukhsar Raja,5400033369913,KHI-9034-Y,2005,Hyundai,Tucson,1500,Sindh,Karachi,526500,03023469063
Waseem Tarar,S/O Faisal Hussain,5400053362031,MZD-8426-N,2013,Toyota,Fortuner,1600,Azad Kashmir,Rawalakot,289600,03329559183
Chaudhry Latif,S/O Mirza Hussain,2130161242229,PES-9398-L,2022,Suzuki,Jimny,1200,KPK,Abbottabad,132000,03332886213
محممد علی,S/O Mohammad Chaudhry,5400017097147,QTA-2585-R,2023,Toyota,Camry,660,Balochistan,Khuzdar,137940,03466252285
Sidra Ali,S/O Shoaib Hashmi,5400021298448,MZD-196-U,2005,Honda,BR-V,1600,Azad Kashmir,Mirpur,243200,03321464694
Ali Bukhari,S/O Hussain Malik,2130131122788,GIL-9416-D,2013,Honda,Civic,2500,Gilgit-Baltistan,Chilas,705000,03224906903
Kamran aRja,S/O Fatima Bukhari,3520270932512,GIL-9391-Z,2010,Suzuki,Bolan,1200,Gilgit-Baltistan,Gilgit,345600,03034713450
Mirza Chattha,S/O Salman Rana,5400053879006,MZD-5304-M,2020,Toyota,Fortuner,800,Azad Kashmir,Mirpur,286400,03033663333
Syed Aslam,S/O Asif Butt,4210199737168,ISB-6493-Y,2008,Suzuki,Swift,1300,ICT,Islamabad,401700,03329253428
,S/O S/O Shazia Chattha,2130163627196,MZD-561-W,2017,Toyota,Fortuner,1800,Azad Kashmir,Rawalakot,239400,03314726916
Shazia Hameed,S/O Rabia Abbasi,3520221259337,KHI-1914-W,2014,Suzuki,Bolan,1000,Sindh,Larkana,312000,03225556327
مریم چودھری,S/O Ahmed Latif,4210110624406,QTA-5194-D,2006,BMW,3 Series,4000,Balochistan,Quetta,552000,03126682872
Hashmi Ali,S/O Khalid Bukhari,2130165577982,MZD-8576-Q,2017,Toyota,Camry,2000,Azad Kashmir,Mirpur,796000,03034546989
Saira Hameed,S/O Aamir Ansari,3520236155763,PES-9136-J,2012,Hyundai,Elantra,660,KPK,Mardan,173580,03131392726
Hussain Karim,S/O Ali Hashmi,4400073524847,QTA-3541-O,2013,Suzuki,Cultus,1200,Balochistan,Khuzdar,430800,03218517846
Bushra Ali,S/O Mehwish Rizvi,6110157593596,ISB-8453-P,2018,Hyundai,Sonata,1600,ICT,Islamabad,393600,03037791754
ابراہیم ملک,S/O Hashmi Qureshi,4400051125463,MZD-6131-T,2013,Mercedes,S-Class,4000,Azad Kashmir,Rawalakot,,03004909053
Sheikh Malik,S/O Aamir Karim,4210175045174,GIL-9288-F,2012,Toyota,Corolla,1600,Gilgit-Baltistan,Gilgit,201600,03125981736
Mehwish Latif,S/O Rabia Butt,6110131090242,QTA-5083-U,2016,Kia,Picanto,1300,Balochistan,Hub,245700,03334483946
Asma Abbasi,S/O Sheikh Rafiq,4400079743272,MZD-8774-F,2013,Toyota,Yaris,1200,Azad Kashmir,Muzaffarabad,270000,03016534739
Naveed Tarar,S/O Khalid Qureshi,4400029325553,LHR-3810-Z,2018,Mercedes,E-Class,3500,Punjab,Gujranwala,773500,03457038275
Adnan Nawaz,S/O احمد خان,4210183763682,PES-6891-P,2021,Suzuki,Alto,4000,KPK,Abbottabad,1096000,03134594921
Kamran Akhtar,S/O Hashmi Naqvi,3520283723162,QTA-1919-Z,2005,Hyundai,Santa Fe,1300,Sindh,Karachi,478400,03454635925
Uzma Zaidi,S/O Kamran Gujjar,6110124710169,QTA-2784-E,2007,Suzuki,Jimny,1600,Balochistan,Turbat,416000,03319576556
Usman Baig,S/O Naveed Chattha,,KHI-1584-B,2009,Suzuki,Swift,1500,Sindh,Sukkur,291000,03461661769
Mohammad Jafi,S/O Rizwan Baig,4210193569122,MZD-9338-T,2016,Mercedes,S-Class,4000,Azad Kashmir,Mirpur,1176000,
Raja Jafri,S/O Mirza Hashmi,4400073276027,QTA-9574-S,2022,Honda,BR-V,1800,Balochistan,Gwadar,590400,03016314075
Arif Latif,S/O Shazia Sandhu,5400012697135,PES-5061-W,2010,Kia,Picanto,800,KPK,Abbottabad,153600,03134005497
Hassan Iqbal,S/O Bilal Nawaz,5400023758976,KHI-4352-C,2015,Suzuki,Bolan,2500,Sindh,Mirpurkhas,410000,03463734765
Mehwish Chattha,S/O Raja Rizvi,3520237245441,GIL-8559-Q,2010,Suzuki,Swift,1500,ICT,Islamabad,526500,03027369059
Z. Zaidi,S/O Sobia Tarar,6110134609486,MZD-2367-K,2014,Audi,Q7,2500,Azad Kashmir,Muzaffarabad,662500,03311263401
Kashif Nawaz,S/O زینب علی,2130120617263,QTA-7440-X,2014,Suzuki,Swift,660,Balochistan,Khuzdar,194040,03001623460
S. Akhtar,S/O Faisal Nawaz,5400045639694,MZD-5722-E,2015,Suzuki,Jimny,3000,Azad Kashmir,Muzaffarabad,888000,03116597610
Waseem Naqvi,S/O Syed Ansari,4400082412661,PES-2620-L,2013,Hyundai,Sonata,660,KPK,Bannu,148500,03228596482
,S/O Hina Akhtar,1330253122756,QTA-5064-L,2021,Kia,Stonic,660,Balochistan,Turbat,223080,03336111749
Arif Chaudhry,S/O Rabia Ahmed,1330228149866,LHR-7476-O,2016,Honda,Civic,1800,Punjab,Bahawalpur,239400,03039528917
Hussain Gujjar,S/O Sheikh Tarar,4400039747909,QTA-8239-W,2014,Honda,Civic,800,Balochistan,Quetta,185600,03463679963
Hamid Bhatti,S/O Zubair Ansari,2130169004294,ISB-8440-H,2017,Kia,Carnival,2500,ICT,Islamabad,,03451902111
Saira Cheema,S/O Ahmed Virk,5400016119999,KHI-1149-G,2022,Honda,CR-V,800,Sindh,Nawabshah,203200,03138688119
Zainab Rizvi,S/O Zainab Hashmi,6110136424993,LHR-9328-J,2020,Mercedes,S-Class,3500,Punjab,Faisalabad,1312500,03014371891
Arif Bhatti,S/O Rabia Hussain,1330219023133,GIL-2293-C,2010,Kia,Picanto,2500,Gilgit-Baltistan,Skardu,610000,03133631549
Uzma Sheikh,S/O Baig Mirza,4210182363214,MZD-1463-W,2012,Toyota,Fortuner,1600,Azad Kashmir,Rawalakot,196800,03218152934
Kashif Chattha,S/O Hassan Gilani,4210153328773,GIL-8858-M,2018,Audi,Q7,2500,Gilgit-Baltistan,Gilgit,362500,03311312392
Faisal Malik,S/O Asif Gondal,5400069626439,KHI-5189-J,2019,Toyota,Hilux,800,Sindh,Sukkur,238400,03219957097
Naeem Naqvi,S/O Rabia Gilani,4210117878295,QTA-5200-U,2013,Suzuki,Alto,1200,Balochistan,Khuzdar,339600,03458296545
Sana Hameed,S/O Naeem Gujjar,4400095737293,PES-3834-N,2018,Honda,City,2500,KPK,Mardan,607500,03028675147
مریم چودھری,S/O Syed Karim,6110142034345,KHI-9853-B,2011,Honda,BR-V,2500,Sindh,Nawabshah,682500,03137135467
Maryam Gujjar,S/O Khalid Malik,,QTA-1846-S,2011,Toyota,Land Cruiser,2000,Balochistan,Turbat,306000,03326158936
Faisal Hameed,S/O Saira Qureshi,1330250817242,MZD-8409-L,2020,Toyota,Hilux,3000,Azad Kashmir,Mirpur,,03129425599
F. Malik,S/O Rizwan Abbasi,3520213054416,KHI-6191-Q,2008,Hyundai,Santa Fe,1600,Sindh,Mirpurkhas,464000,03321758131
Mohammad Karim,S/O Mehwish Rizvi,4400012274085,GIL-2271-D,2019,Kia,Carnival,3000,Gilgit-Baltistan,Chilas,531000,03457675247
Raja Virk,S/O Iqra Gondal,2130170446548,GIL-5542-X,2008,Toyota,Camry,800,Gilgit-Baltistan,Gilgit,,03318326379
Alii Khan,S/O Sana Abbasi,5400058235812,PES-1488-W,2012,Kia,Stonic,660,KPK,Kohat,201300,03137534892
Sobia Raza,S/O Hina Rana,4210190201956,PES-4769-O,2010,Honda,BR-V,1300,KPK,Mardan,163800,03321286354
A. Latif,S/O Amna Syed,4400035966061,PES-5607-Z,2020,Honda,CR-V,1500,KPK,Mingora,339000,03005795040
S. Ansari,,4210162765557,LHR-7445-L,2009,Hyundai,Sonata,3000,Punjab,Lahore,,03026446672
محمد علی,S/O Ali Syed,6110120962654,LHR-4164-T,2007,Suzuki,Jimny,1300,Punjab,Multan,172900,03014538882
S. Hussain,S/O Rukhsar Butt,5400055028392,MZD-3345-V,2005,Suzuki,Swift,1000,Azad Kashmir,Rawalakot,225000,03136779911
Arif Hameed,S/O Amna Latif,1330252330545,MZD-875-S,2014,Honda,City,1600,Azad Kashmir,Muzaffarabad,544000,03124055213
Hamid Rana,S/O Hamid Cheema,4210136822905,MZD-6444-Y,2015,Hyundai,Elantra,2000,Azad Kashmir,Muzaffarabad,524000,03469731903
Sidra Khan,S/O Baig Ansari,1330249154738,MZD-6929-X,2018,Mercedes,C-Class,2000,Azad Kashmir,Mirpur,344000,
Naveed Baig,S/O Ibrahim Aslam,3520297563419,KHI-7117-Z,2018,Toyota,Hilux,1800,Sindh,Sukkur,432000,03318851546
Zainab Iqbal,S/O Shazia Syed,4210122603446,LHR-3918-Z,2014,Suzuki,Alto,2500,Punjab,Sialkot,290000,03008092102
Muhammad Karim,S/O Faisal Virk,4210172970806,ISB-7681-R,2023,Toyota,Fortuner,2000,ICT,Islamabad,734000,03322688466
Bushra Hussain,S/O Hashmi Nawaz,3520233638214,QTA-1130-M,2011,Suzuki,Swift,800,Balochistan,Hub,92000,03134621690
م. چودھری,S/O Chaudhry Raja,2130156571197,ISB-4976-R,2015,Toyota,Corolla,1200,ICT,Islamabad,286800,03136185271
Iqra Khan,S/O Uzma Zaidi,2130172760376,MZD-1590-E,2006,Honda,HR-V,1600,Azad Kashmir,Muzaffarabad,230400,03455081765
Hashmi Chattha,S/O Ibrahim Virk,1330221336211,ISB-2758-G,2013,Honda,CR-V,1600,ICT,Islamabad,371200,03213891095
S. Naqvi,S/O Baig Gujjar,3520243705679,PES-5978-U,2007,Honda,BR-V,1000,KPK,Abbottabad,314000,03462353795
Omar Virk,S/O Hashmi Rizvi,6110143423252,QTA-1383-R,2017,Toyota,Hilux,660,Balochistan,Quetta,130680,03117232179
Rukhsar Bukhari,S/O Asma Chaudhry,4400011918595,GIL-5099-Z,2011,Suzuki,Cultus,660,Gilgit-Baltistan,Chilas,163680,03002983483
Waseem Latif,S/O Ibrahim Mirza,6110176812224,PES-1439-J,2021,Suzuki,Jimny,1800,KPK,Bannu,,03134086060
